query,answer,,
宝宝洗衣液近期哪个价格段的销售额最为突出？,Query:宝宝洗衣液近期哪个价格段的销售额最为突出？Answer:时间：2023-05 ~ 2023-08;搜索平台：淘宝+天猫+京东+抖音; 品类：宝宝洗衣液; 品牌：未指定；查询类目：价格分布-销售额，价格分布-销量，价格分布-各价格段销量占比，价格分布-各价格段销量占比趋势,,
对于洗发用品这类商品，欧莱雅品牌，今年以来销售额最低的价格段是哪个？,Query:对于洗发用品这类商品，欧莱雅品牌，今年以来销售额最低的价格段是哪个？Answer:时间：2023-01 ~ 2023-08;搜索平台：淘宝+天猫+京东+抖音; 品类：洗发用品; 品牌：欧莱雅；查询类目：价格分布-各价格段销量占比,,
在淘宝上哪个价格段的家私护理品最受消费者欢迎，销量最高？,Query:在淘宝上哪个价格段的家私护理品最受消费者欢迎，销量最高？Answer:时间：2023-01 ~ 2023-08;搜索平台：淘宝+天猫+京东+抖音; 品类：洗发用品; 品牌：欧莱雅；查询类目：价格分布-各价格段销量占比,,
上个月低价、中价、高价段的头发清洁用品销量分别有何特点？,Query:上个月低价、中价、高价段的头发清洁用品销量分别有何特点？Answer:时间：2023-07 ~ 2023-08;搜索平台：淘宝+天猫+京东+抖音; 品类：头皮清洁; 品牌：未指定；查询类目：价格分布-各价格段销量占比，价格分布-各价格段销量占比趋势,,
哪个价格段的面膜种类最为丰富？,Query:哪个价格段的面膜种类最为丰富？Answer:时间：2023-01 ~ 2023-08;搜索平台：淘宝+天猫+京东+抖音; 品类：面膜; 品牌：未指定；查询类目：价格分布-各价格段销量占比，价格分布-商品数量占比，价格分布-各价格段销量占比趋势,,
不同价格段的男士面部护理种类数量相差最大，时间范围是过去半年？,Query:不同价格段的男士面部护理种类数量相差最大，时间范围是过去半年？Answer:时间：2023-02 ~ 2023-08;搜索平台：淘宝+天猫+京东+抖音; 品类：男士面部护理; 品牌：未指定；查询类目：价格分布-各价格段销量占比，价格分布-各价格段销量占比趋势,,
近三个月，京东平台的洗手液平均价格有何变化？,Query:近三个月，京东平台的洗手液平均价格有何变化？Answer:时间：2023-02 ~ 2023-08;搜索平台：京东; 品类：男士面部护理; 品牌：未指定；查询类目：价格分布-销量&均价,,
过去的几个月中，均价最高时的芝麻糊销量表现如何？,Query:过去的几个月中，均价最高时的芝麻糊销量表现如何？Answer:时间：2023-02 ~ 2023-08;搜索平台：淘宝+天猫+京东+抖音; 品类：芝麻糊; 品牌：未指定；查询类目：价格分布-销量&均价,,
近期哪个价格段的男士洁面销量增长最为迅速？,Query:近期哪个价格段的男士洁面销量增长最为迅速？Answer:时间：2023-02 ~ 2023-08;搜索平台：淘宝+天猫+京东+抖音; 品类：男士洁面; 品牌：未指定；查询类目：价格分布-各价格段销量占比趋势,,
有没有雅诗兰黛口红在各大电商平台上去年的销售对比数据？,Query:有没有雅诗兰黛口红在各大电商平台上去年的销售对比数据？Answer:时间：2022-03 ~ 2023-08;搜索平台：淘宝+天猫+京东+抖音; 品类：口红; 品牌：雅诗兰黛；查询类目：平台分析,,
想获取一下雅诗兰黛、娇兰面霜在不同电商平台上过去一年的销售概览，可以吗？,Query:想获取一下雅诗兰黛、娇兰面霜在不同电商平台上过去一年的销售概览，可以吗？Answer:时间：2022-03 ~ 2023-08;搜索平台：淘宝+天猫+京东+抖音; 品类：面霜; 品牌：娇兰，雅诗兰黛；查询类目：平台分析,,
,,,
,,,
